timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1558541893382,15504,Q1PricingSummaryReportQuery,200,OK,UsuarioUnico 1-1,text,true,,261,0,1,1,null,15496,0,3541
1558541908895,14743,Q3ShippingPriorityQuery,200,OK,UsuarioUnico 1-1,text,true,,500,0,1,1,null,14736,0,0
1558541923638,2869,Q6ForecastingRevenueChangeQuery ,200,OK,UsuarioUnico 1-1,text,true,,29,0,1,1,null,2868,0,0
1558541926509,12601,Q11ImportantStockIdentificationQuery,200,OK,UsuarioUnico 1-1,text,true,,45,0,1,1,null,12601,0,0
1558541939111,12506,Q12ShippingModesAndOrderPriorityQuery,200,OK,UsuarioUnico 1-1,text,true,,59,0,1,1,null,12506,0,0
1558541958221,2749,Q14PromotionEffectQuery,200,OK,UsuarioUnico 1-1,text,true,,33,0,1,1,null,2748,0,0
1558541960981,2394,Q15TopSupplierQuery,200,OK,UsuarioUnico 1-1,text,true,,140,0,1,1,null,2394,0,0
1558541963376,5437,Q16Parts/SupplierRelationshipQuery,200,OK,UsuarioUnico 1-1,text,true,,75,0,1,1,null,5436,0,0
1558541968813,16498,Q18LargeVolumeCustomerQuery,200,OK,UsuarioUnico 1-1,text,true,,1431,0,1,1,null,16485,0,0
