timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1558539416474,8731,Q1PricingSummaryReportQuery,200,OK,UsuarioUnico 1-1,text,true,,262,0,1,1,null,8728,0,429
1558539425209,3139,Q3ShippingPriorityQuery,200,OK,UsuarioUnico 1-1,text,true,,404,0,1,1,null,3130,0,0
1558539428349,2663,Q6ForecastingRevenueChangeQuery ,200,OK,UsuarioUnico 1-1,text,true,,29,0,1,1,null,2662,0,0
1558539431012,13195,Q11ImportantStockIdentificationQuery,200,OK,UsuarioUnico 1-1,text,true,,45,0,1,1,null,13195,0,0
1558539444209,3506,Q12ShippingModesAndOrderPriorityQuery,200,OK,UsuarioUnico 1-1,text,true,,59,0,1,1,null,3506,0,0
1558539448539,1162,Q14PromotionEffectQuery,200,OK,UsuarioUnico 1-1,text,true,,33,0,1,1,null,1162,0,0
1558539449705,3781,Q15TopSupplierQuery,200,OK,UsuarioUnico 1-1,text,true,,49,0,1,1,null,3780,0,0
1558539453488,1882,Q16Parts/SupplierRelationshipQuery,200,OK,UsuarioUnico 1-1,text,true,,75,0,1,1,null,1881,0,1
1558539455371,5457,Q18LargeVolumeCustomerQuery,200,OK,UsuarioUnico 1-1,text,true,,1210,0,1,1,null,5454,0,0
