timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1558464800363,3912,Q1PricingSummaryReportQuery,200,OK,UsuarioUnico 1-1,text,true,,261,0,1,1,null,3908,0,214
1558464804278,1225,Q3ShippingPriorityQuery,200,OK,UsuarioUnico 1-1,text,true,,388,0,1,1,null,1222,0,0
1558464805504,880,Q6ForecastingRevenueChangeQuery ,200,OK,UsuarioUnico 1-1,text,true,,29,0,1,1,null,880,0,0
1558464806385,605,Q11ImportantStockIdentificationQuery,200,OK,UsuarioUnico 1-1,text,true,,37,0,1,1,null,605,0,0
1558464806991,1753,Q12ShippingModesAndOrderPriorityQuery,200,OK,UsuarioUnico 1-1,text,true,,57,0,1,1,null,1752,0,0
1558464808744,493,Q14PromotionEffectQuery,200,OK,UsuarioUnico 1-1,text,true,,33,0,1,1,null,493,0,0
1558464809241,1589,Q15TopSupplierQuery,200,OK,UsuarioUnico 1-1,text,true,,139,0,1,1,null,1589,0,0
1558464810838,969,Q16Parts/SupplierRelationshipQuery,200,OK,UsuarioUnico 1-1,text,true,,71,0,1,1,null,968,0,0
1558464811808,2374,Q18LargeVolumeCustomerQuery,200,OK,UsuarioUnico 1-1,text,true,,603,0,1,1,null,2372,0,0
