timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1558466032264,9887,Q1PricingSummaryReportQuery,200,OK,UsuarioUnico 1-1,text,true,,260,0,1,1,null,9884,0,777
1558466042156,7472,Q3ShippingPriorityQuery,200,OK,UsuarioUnico 1-1,text,true,,504,0,1,1,null,7469,0,0
1558466049628,982,Q6ForecastingRevenueChangeQuery ,200,OK,UsuarioUnico 1-1,text,true,,25,0,1,1,null,982,0,1
1558466050611,5740,Q11ImportantStockIdentificationQuery,200,OK,UsuarioUnico 1-1,text,true,,37,0,1,1,null,5740,0,0
1558466056352,5235,Q12ShippingModesAndOrderPriorityQuery,200,OK,UsuarioUnico 1-1,text,true,,57,0,1,1,null,5235,0,0
1558466061589,1290,Q14PromotionEffectQuery,200,OK,UsuarioUnico 1-1,text,true,,31,0,1,1,null,1290,0,0
1558466062897,851,Q15TopSupplierQuery,200,OK,UsuarioUnico 1-1,text,true,,139,0,1,1,null,851,0,0
1558466063749,2565,Q16Parts/SupplierRelationshipQuery,200,OK,UsuarioUnico 1-1,text,true,,71,0,1,1,null,2564,0,0
1558466066314,6721,Q18LargeVolumeCustomerQuery,200,OK,UsuarioUnico 1-1,text,true,,714,0,1,1,null,6714,0,0
