timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1558549712147,21696,Q1PricingSummaryReportQuery,200,OK,UsuarioUnico 1-1,text,true,,261,0,1,1,null,21690,0,805
1558549733850,107531,Q3ShippingPriorityQuery,200,OK,UsuarioUnico 1-1,text,true,,512,0,1,1,null,107493,0,0
1558549841382,9204,Q6ForecastingRevenueChangeQuery ,200,OK,UsuarioUnico 1-1,text,true,,29,0,1,1,null,9203,0,0
1558549850589,17769,Q11ImportantStockIdentificationQuery,200,OK,UsuarioUnico 1-1,text,true,,17,0,1,1,null,17769,0,0
1558549868358,17696,Q12ShippingModesAndOrderPriorityQuery,200,OK,UsuarioUnico 1-1,text,true,,59,0,1,1,null,17696,0,0
1558549880866,4375,Q14PromotionEffectQuery,200,OK,UsuarioUnico 1-1,text,true,,33,0,1,1,null,4374,0,0
1558549885257,3372,Q15TopSupplierQuery,200,OK,UsuarioUnico 1-1,text,true,,122,0,1,1,null,3372,0,0
1558549888631,7754,Q16Parts/SupplierRelationshipQuery,200,OK,UsuarioUnico 1-1,text,true,,75,0,1,1,null,7754,0,0
1558549896386,64799,Q18LargeVolumeCustomerQuery,200,OK,UsuarioUnico 1-1,text,true,,2087,0,1,1,null,64779,0,0
